title,studio,domestic_gross,foreign_gross,year,title_lower,tconst,primary_title,original_title,start_year,runtime_minutes,genres,primary_title_lower,averagerating,numvotes
Toy Story 3,BV,415000000.0,652000000,2010,toy story 3,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",toy story 3,8.3,682218
Inception,WB,292600000.0,535700000,2010,inception,tt1375666,Inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi",inception,8.8,1841066
Shrek Forever After,P/DW,238700000.0,513900000,2010,shrek forever after,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",shrek forever after,6.3,167532
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010,the twilight saga: eclipse,tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",the twilight saga: eclipse,5.0,211733
Iron Man 2,Par.,312400000.0,311500000,2010,iron man 2,tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",iron man 2,7.0,657690
Tangled,BV,200800000.0,391000000,2010,tangled,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",tangled,7.8,366366
Despicable Me,Uni.,251500000.0,291600000,2010,despicable me,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",despicable me,7.7,464511
How to Train Your Dragon,P/DW,217600000.0,277300000,2010,how to train your dragon,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",how to train your dragon,8.1,611299
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,the chronicles of narnia: the voyage of the dawn treader,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",the chronicles of narnia: the voyage of the dawn treader,6.3,129663
The King's Speech,Wein.,135500000.0,275400000,2010,the king's speech,tt1504320,The King's Speech,The King's Speech,2010,118.0,"Biography,Drama,History",the king's speech,8.0,593629
The Karate Kid,Sony,176600000.0,182500000,2010,the karate kid,tt1155076,The Karate Kid,The Karate Kid,2010,140.0,"Action,Drama,Family",the karate kid,6.2,146401
Prince of Persia: The Sands of Time,BV,90800000.0,245600000,2010,prince of persia: the sands of time,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",prince of persia: the sands of time,6.6,254975
Black Swan,FoxS,107000000.0,222400000,2010,black swan,tt0947798,Black Swan,Black Swan,2010,108.0,"Drama,Thriller",black swan,8.0,648854
Megamind,P/DW,148400000.0,173500000,2010,megamind,tt1001526,Megamind,Megamind,2010,95.0,"Action,Animation,Comedy",megamind,7.3,207488
Robin Hood,Uni.,105300000.0,216400000,2010,robin hood,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",robin hood,6.6,239480
